,FullGeoName,Year,Travel status,County,Count,Legend,Notes,LegendInts
0,"AL, Elmore",2023,All,1051,1 to 4,1 to 4,"AL, Elmore County",4
1,"AL, Jefferson",2023,All,1073,1 to 4,1 to 4,"AL, Jefferson County",4
2,"AL, Madison",2023,All,1089,1 to 4,1 to 4,"AL, Madison County",4
3,"AK, Anchorage Muny",2023,All,2020,1 to 4,1 to 4,"AK, Anchorage, Municipality of",4
4,"AK, Matanuska-susitna Borough",2023,All,2170,1 to 4,1 to 4,"AK, Matanuska-Susitna Borough",4
5,"AZ, Pima",2023,All,4019,1 to 4,1 to 4,"AZ, Pima County",4
6,"AZ, Pinal",2023,All,4021,1 to 4,1 to 4,"AZ, Pinal County",4
7,"AZ, Yavapai",2023,All,4025,1 to 4,1 to 4,"AZ, Yavapai County",4
8,"AR, Madison",2023,All,5087,1 to 4,1 to 4,"AR, Madison County",4
9,"AR, Pulaski",2023,All,5119,1 to 4,1 to 4,"AR, Pulaski County",4
10,"CA, Butte",2023,All,6007,1 to 4,1 to 4,"CA, Butte County",4
11,"CA, Contra Costa",2023,All,6013,1 to 4,1 to 4,"CA, Contra Costa County",4
12,"CA, Fresno",2023,All,6019,1 to 4,1 to 4,"CA, Fresno County",4
13,"CA, Imperial",2023,All,6025,1 to 4,1 to 4,"CA, Imperial County",4
14,"CA, Kern",2023,All,6029,1 to 4,1 to 4,"CA, Kern County",4
15,"CA, Marin",2023,All,6041,1 to 4,1 to 4,"CA, Marin County",4
16,"CA, Mendocino",2023,All,6045,1 to 4,1 to 4,"CA, Mendocino County",4
17,"CA, Merced",2023,All,6047,1 to 4,1 to 4,"CA, Merced County",4
18,"CA, Monterey",2023,All,6053,1 to 4,1 to 4,"CA, Monterey County",4
19,"CA, Riverside",2023,All,6065,1 to 4,1 to 4,"CA, Riverside County",4
20,"CA, Sacramento",2023,All,6067,1 to 4,1 to 4,"CA, Sacramento County",4
21,"CA, San Benito",2023,All,6069,1 to 4,1 to 4,"CA, San Benito County",4
22,"CA, San Joaquin",2023,All,6077,1 to 4,1 to 4,"CA, San Joaquin County",4
23,"CA, San Luis Obispo",2023,All,6079,1 to 4,1 to 4,"CA, San Luis Obispo County",4
24,"CA, Santa Barbara",2023,All,6083,1 to 4,1 to 4,"CA, Santa Barbara County",4
25,"CA, Santa Cruz",2023,All,6087,1 to 4,1 to 4,"CA, Santa Cruz County",4
26,"CA, Sonoma",2023,All,6097,1 to 4,1 to 4,"CA, Sonoma County",4
27,"CA, Tehama",2023,All,6103,1 to 4,1 to 4,"CA, Tehama County",4
28,"CA, Tulare",2023,All,6107,1 to 4,1 to 4,"CA, Tulare County",4
29,"CA, Ventura",2023,All,6111,1 to 4,1 to 4,"CA, Ventura County",4
30,"CA, Yolo",2023,All,6113,1 to 4,1 to 4,"CA, Yolo County",4
31,"CO, Adams",2023,All,8001,1 to 4,1 to 4,"CO, Adams County",4
32,"CO, Arapahoe",2023,All,8005,1 to 4,1 to 4,"CO, Arapahoe County",4
33,"CO, Boulder",2023,All,8013,1 to 4,1 to 4,"CO, Boulder County",4
34,"CO, Douglas",2023,All,8035,1 to 4,1 to 4,"CO, Douglas County",4
35,"CO, Gunnison",2023,All,8051,1 to 4,1 to 4,"CO, Gunnison County",4
36,"CO, Jefferson",2023,All,8059,1 to 4,1 to 4,"CO, Jefferson County",4
37,"CO, Pitkin",2023,All,8097,1 to 4,1 to 4,"CO, Pitkin County",4
