,ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean,County
0,AL-001,Autauga County,Alabama,-1.88,-1.78,21.0,-0.1,01001
1,AL-003,Baldwin County,Alabama,-2.79,-2.72,9.0,-0.07,01003
2,AL-005,Barbour County,Alabama,-0.44,-0.34,58.0,-0.1,01005
3,AL-007,Bibb County,Alabama,-1.45,-1.41,34.0,-0.04,01007
4,AL-009,Blount County,Alabama,4.05,3.9,127.0,0.15,01009
5,AL-011,Bullock County,Alabama,1.22,1.31,99.0,-0.09,01011
6,AL-013,Butler County,Alabama,-1.86,-1.66,22.0,-0.2,01013
7,AL-015,Calhoun County,Alabama,1.03,1.0,93.0,0.03,01015
8,AL-017,Chambers County,Alabama,1.66,1.67,111.0,-0.01,01017
9,AL-019,Cherokee County,Alabama,1.02,0.88,91.0,0.14,01019
10,AL-021,Chilton County,Alabama,-1.56,-1.41,30.0,-0.15,01021
11,AL-023,Choctaw County,Alabama,-1.71,-1.89,21.0,0.18,01023
12,AL-025,Clarke County,Alabama,-1.63,-1.58,25.0,-0.05,01025
13,AL-027,Clay County,Alabama,1.38,1.33,101.0,0.05,01027
14,AL-029,Cleburne County,Alabama,0.9,0.84,91.0,0.06,01029
15,AL-031,Coffee County,Alabama,-1.48,-1.4,29.0,-0.08,01031
16,AL-033,Colbert County,Alabama,2.59,2.41,115.0,0.18,01033
17,AL-035,Conecuh County,Alabama,-3.75,-3.59,3.0,-0.16,01035
18,AL-037,Coosa County,Alabama,-0.19,-0.1,70.0,-0.09,01037
19,AL-039,Covington County,Alabama,-2.77,-2.7,12.0,-0.07,01039
20,AL-041,Crenshaw County,Alabama,-0.37,-0.25,59.0,-0.12,01041
21,AL-043,Cullman County,Alabama,2.92,2.83,120.0,0.09,01043
22,AL-045,Dale County,Alabama,-1.65,-1.61,28.0,-0.04,01045
23,AL-047,Dallas County,Alabama,-2.19,-2.09,13.0,-0.1,01047
24,AL-049,DeKalb County,Alabama,1.01,0.83,95.0,0.18,01049
25,AL-051,Elmore County,Alabama,-0.23,-0.08,65.0,-0.15,01051
26,AL-053,Escambia County,Alabama,-3.64,-3.59,4.0,-0.05,01053
27,AL-055,Etowah County,Alabama,1.96,1.8,109.0,0.16,01055
28,AL-057,Fayette County,Alabama,1.76,1.65,105.0,0.11,01057
29,AL-059,Franklin County,Alabama,1.91,1.77,106.0,0.14,01059
30,AL-061,Geneva County,Alabama,-3.3,-3.25,1.0,-0.05,01061
31,AL-063,Greene County,Alabama,-0.18,-0.21,61.0,0.03,01063
32,AL-065,Hale County,Alabama,-1.34,-1.31,34.0,-0.03,01065
33,AL-067,Henry County,Alabama,-1.34,-1.32,40.0,-0.02,01067
34,AL-069,Houston County,Alabama,-2.97,-3.01,3.0,0.04,01069
35,AL-071,Jackson County,Alabama,1.18,0.98,92.0,0.2,01071
36,AL-073,Jefferson County,Alabama,0.67,0.63,85.0,0.04,01073
37,AL-075,Lamar County,Alabama,0.52,0.47,75.0,0.05,01075
38,AL-077,Lauderdale County,Alabama,2.66,2.47,113.0,0.19,01077
39,AL-079,Lawrence County,Alabama,1.83,1.74,102.0,0.09,01079
40,AL-081,Lee County,Alabama,1.38,1.45,98.0,-0.07,01081
41,AL-083,Limestone County,Alabama,2.85,2.81,118.0,0.04,01083
42,AL-085,Lowndes County,Alabama,-0.73,-0.69,52.0,-0.04,01085
43,AL-087,Macon County,Alabama,1.81,1.87,107.0,-0.06,01087
44,AL-089,Madison County,Alabama,2.36,2.24,115.0,0.12,01089
45,AL-091,Marengo County,Alabama,-1.44,-1.46,27.0,0.02,01091
46,AL-093,Marion County,Alabama,1.21,1.1,89.0,0.12,01093
47,AL-095,Marshall County,Alabama,2.09,1.87,103.0,0.22,01095
48,AL-097,Mobile County,Alabama,-2.53,-2.46,11.0,-0.07,01097
49,AL-099,Monroe County,Alabama,-3.25,-3.06,8.0,-0.19,01099
50,AL-101,Montgomery County,Alabama,0.65,0.79,88.0,-0.14,01101
51,AL-103,Morgan County,Alabama,2.54,2.45,117.0,0.09,01103
52,AL-105,Perry County,Alabama,-1.96,-1.85,19.0,-0.11,01105
53,AL-107,Pickens County,Alabama,1.48,1.49,101.0,-0.01,01107
54,AL-109,Pike County,Alabama,0.42,0.5,79.0,-0.08,01109
55,AL-111,Randolph County,Alabama,1.27,1.25,99.0,0.02,01111
