,ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean,County
0,101,Northern Valley,Alabama,0.24,0.16,77.0,0.08,01101
1,102,Appalachian Mountain,Alabama,0.24,0.18,78.0,0.05,01102
2,103,Upper Plains,Alabama,0.09,0.1,73.0,-0.01,01103
3,104,Eastern Valley,Alabama,0.27,0.28,81.0,-0.01,01104
4,105,Piedmont Plateau,Alabama,0.61,0.71,99.0,-0.09,01105
5,106,Prairie,Alabama,0.14,0.24,77.0,-0.11,01106
6,107,Coastal Plain,Alabama,-0.16,-0.05,64.0,-0.11,01107
7,108,Gulf,Alabama,-0.66,-0.58,36.0,-0.07,01108
8,201,Northwest,Arizona,0.77,0.71,101.0,0.06,04201
9,202,Northeast,Arizona,0.55,0.43,90.0,0.12,04202
10,203,North Central,Arizona,0.12,-0.01,77.0,0.13,04203
11,204,East Central,Arizona,-0.79,-0.94,37.0,0.15,04204
12,205,Southwest,Arizona,-0.68,-0.81,38.0,0.12,04205
13,206,South Central,Arizona,-0.25,-0.43,68.0,0.17,04206
14,207,Southeast,Arizona,-1.17,-1.32,19.0,0.15,04207
15,301,Northwest,Arkansas,-0.08,-0.12,62.0,0.04,05301
16,302,North Central,Arkansas,0.45,0.41,86.0,0.04,05302
17,303,Northeast,Arkansas,0.53,0.47,86.0,0.06,05303
18,304,West Central,Arkansas,0.21,0.19,74.0,0.02,05304
19,305,Central,Arkansas,0.46,0.47,91.0,0.0,05305
20,306,East Central,Arkansas,0.07,0.0,65.0,0.08,05306
21,307,Southwest,Arkansas,0.77,0.76,102.0,0.01,05307
22,308,South Central,Arkansas,1.18,1.14,111.0,0.04,05308
23,309,Southeast,Arkansas,0.35,0.29,83.0,0.06,05309
24,401,North Coast Drainage,California,0.11,0.11,76.0,0.0,06401
25,402,Sacramento Drainage,California,0.85,0.76,105.0,0.08,06402
26,403,Northeast Interior Basins,California,1.57,1.54,118.0,0.03,06403
27,404,Central Coast Drainage,California,0.7,0.54,92.0,0.16,06404
28,405,San Joaquin Drainage,California,0.67,0.54,92.0,0.13,06405
29,406,South Coast Drainage,California,1.25,1.03,110.0,0.23,06406
30,407,Southeast Desert Basins,California,1.67,1.54,113.0,0.13,06407
31,501,Arkansas Drainage,Colorado,0.69,0.4,89.0,0.29,08501
32,502,Colorado Drainage,Colorado,-0.44,-0.59,45.0,0.14,08502
33,503,Kansas Drainage,Colorado,1.01,0.68,95.0,0.33,08503
34,504,Platte Drainage,Colorado,2.68,2.5,127.0,0.18,08504
35,505,Rio Grande Drainage,Colorado,-0.61,-0.82,35.0,0.21,08505
36,601,Northwest,Connecticut,1.23,1.16,116.0,0.07,09601
37,602,Central,Connecticut,0.99,0.99,114.0,0.0,09602
38,603,Coastal,Connecticut,0.24,0.23,82.0,0.02,09603
39,701,Northern,Delaware,0.19,0.17,72.0,0.03,10701
40,702,Southern,Delaware,-0.46,-0.49,39.0,0.03,10702
41,801,Northwest,Florida,-1.02,-0.93,27.0,-0.09,12801
42,802,North,Florida,0.46,0.51,87.0,-0.06,12802
43,803,North Central,Florida,-0.84,-0.81,27.0,-0.02,12803
44,804,South Central,Florida,-0.69,-0.74,33.0,0.05,12804
45,805,Everglades and Southwest Coast,Florida,-0.28,-0.3,55.0,0.03,12805
46,806,Lower East Coast,Florida,1.13,1.06,111.0,0.06,12806
47,807,Keys,Florida,-1.13,-1.15,17.0,0.02,12807
48,901,Northwest,Georgia,0.13,0.15,80.0,-0.03,13901
49,902,North Central,Georgia,0.6,0.61,98.0,-0.02,13902
50,903,Northeast,Georgia,0.36,0.36,87.0,0.0,13903
51,904,West Central,Georgia,0.25,0.31,80.0,-0.07,13904
52,905,Central,Georgia,0.65,0.63,96.0,0.03,13905
53,906,East Central,Georgia,1.42,1.38,119.0,0.05,13906
54,907,Southwest,Georgia,-0.14,-0.08,62.0,-0.06,13907
55,908,South Central,Georgia,0.22,0.25,83.0,-0.03,13908
56,909,Southeast,Georgia,0.77,0.84,107.0,-0.07,13909
57,1001,Panhandle,Idaho,-0.81,-0.78,29.0,-0.02,161001
58,1002,North Central Prairies,Idaho,-1.17,-1.19,16.0,0.02,161002
59,1003,North Central Canyons,Idaho,-0.85,-0.91,28.0,0.05,161003
60,1004,Central Mountains,Idaho,0.39,0.39,88.0,-0.01,161004
61,1005,Southwestern Valleys,Idaho,1.14,1.17,107.0,-0.02,161005
62,1006,Southwestern Highlands,Idaho,0.99,1.01,98.0,-0.02,161006
63,1007,Central Plains,Idaho,0.36,0.25,76.0,0.11,161007
64,1008,Northeastern Valleys,Idaho,1.47,1.39,116.0,0.08,161008
65,1009,Upper Snake River Plains,Idaho,1.21,1.07,98.0,0.14,161009
66,1010,Eastern Highlands,Idaho,0.86,0.81,98.0,0.05,161010
67,1101,Northwest,Illinois,-1.14,-1.14,12.0,0.0,171101
68,1102,Northeast,Illinois,-0.7,-0.66,29.0,-0.05,171102
69,1103,West,Illinois,-0.93,-0.91,20.0,-0.02,171103
70,1104,Central,Illinois,-0.86,-0.87,21.0,0.01,171104
71,1105,East,Illinois,-0.81,-0.82,22.0,0.01,171105
72,1106,West Southwest,Illinois,-0.43,-0.47,38.0,0.04,171106
73,1107,East Southeast,Illinois,-0.05,-0.06,54.0,0.02,171107
74,1108,Southwest,Illinois,0.17,0.16,68.0,0.01,171108
75,1109,Southeast,Illinois,0.15,0.19,73.0,-0.04,171109
76,1201,Northwest,Indiana,-0.47,-0.47,31.0,0.0,181201
77,1202,North Central,Indiana,-0.5,-0.53,29.0,0.03,181202
78,1203,Northeast,Indiana,-0.43,-0.48,32.0,0.06,181203
79,1204,West Central,Indiana,-0.22,-0.22,45.0,0.0,181204
80,1205,Central,Indiana,-0.19,-0.2,46.0,0.02,181205
81,1206,East Central,Indiana,-0.05,-0.1,55.0,0.05,181206
82,1207,Southwest,Indiana,0.31,0.36,79.0,-0.04,181207
83,1208,South Central,Indiana,0.72,0.78,102.0,-0.06,181208
84,1209,Southeast,Indiana,0.5,0.52,85.0,-0.02,181209
85,1301,Northwest,Iowa,-0.6,-0.71,32.0,0.11,191301
86,1302,North Central,Iowa,-1.16,-1.26,14.0,0.1,191302
87,1303,Northeast,Iowa,-1.69,-1.75,9.0,0.06,191303
88,1304,West Central,Iowa,-1.19,-1.27,19.0,0.08,191304
89,1305,Central,Iowa,-1.11,-1.13,23.0,0.02,191305
90,1306,East Central,Iowa,-1.98,-1.98,7.0,0.0,191306
91,1307,Southwest,Iowa,-0.95,-0.98,18.0,0.03,191307
92,1308,South Central,Iowa,-1.3,-1.34,14.0,0.04,191308
93,1309,Southeast,Iowa,-1.35,-1.38,11.0,0.03,191309
94,1401,Northwest,Kansas,-0.19,-0.36,60.0,0.17,201401
95,1402,North Central,Kansas,-1.63,-1.69,15.0,0.06,201402
96,1403,Northeast,Kansas,-0.59,-0.67,31.0,0.08,201403
