FullGeoName,Year,Travel status,County,Count,Legend,Notes
"CA, Los Angeles",2023,Locally acquired,06037,1 to 4,1 to 4,"CA, Los Angeles County"
"FL, Broward",2023,Locally acquired,12011,1 to 4,1 to 4,"FL, Broward County"
"FL, Palm Beach",2023,Locally acquired,12099,1 to 4,1 to 4,"FL, Palm Beach County"
"TX, Dallas",2023,Locally acquired,48113,1 to 4,1 to 4,"TX, Dallas County; In 2023, the county of acquisition for the Dallas, TX case was Val Verde County."
"PR, Aibonito",2023,Locally acquired,72009,1 to 4,1 to 4,"PR, Aibonito Municipality"
"PR, Barceloneta",2023,Locally acquired,72017,1 to 4,1 to 4,"PR, Barceloneta Municipality"
"PR, Barranquitas",2023,Locally acquired,72019,1 to 4,1 to 4,"PR, Barranquitas Municipality"
"PR, Cayey",2023,Locally acquired,72035,1 to 4,1 to 4,"PR, Cayey Municipality"
"PR, Cidra",2023,Locally acquired,72041,1 to 4,1 to 4,"PR, Cidra Municipality"
"PR, Coamo",2023,Locally acquired,72043,1 to 4,1 to 4,"PR, Coamo Municipality"
"PR, Comerio",2023,Locally acquired,72045,1 to 4,1 to 4,"PR, Comerio Municipality"
"PR, Florida",2023,Locally acquired,72054,1 to 4,1 to 4,"PR, Florida Municipality"
"PR, Guanica",2023,Locally acquired,72055,1 to 4,1 to 4,"PR, Guanica Municipality"
"PR, Guayama",2023,Locally acquired,72057,1 to 4,1 to 4,"PR, Guayama Municipality"
"PR, Guayanilla",2023,Locally acquired,72059,1 to 4,1 to 4,"PR, Guayanilla Municipality"
"PR, Las Marias",2023,Locally acquired,72083,1 to 4,1 to 4,"PR, Las Marias Municipality"
"PR, Loiza",2023,Locally acquired,72087,1 to 4,1 to 4,"PR, Loiza Municipality"
"PR, Luquillo",2023,Locally acquired,72089,1 to 4,1 to 4,"PR, Luquillo Municipality"
"PR, Manati",2023,Locally acquired,72091,1 to 4,1 to 4,"PR, Manati Municipality"
"PR, Naranjito",2023,Locally acquired,72105,1 to 4,1 to 4,"PR, Naranjito Municipality"
"PR, Santa Isabel",2023,Locally acquired,72133,1 to 4,1 to 4,"PR, Santa Isabel Municipality"
"PR, Vega Alta",2023,Locally acquired,72143,1 to 4,1 to 4,"PR, Vega Alta Municipality"
"PR, Villalba",2023,Locally acquired,72149,1 to 4,1 to 4,"PR, Villalba Municipality"
"PR, Yabucoa",2023,Locally acquired,72151,1 to 4,1 to 4,"PR, Yabucoa Municipality"
"PR, Yauco",2023,Locally acquired,72153,1 to 4,1 to 4,"PR, Yauco Municipality"
"FL, Hardee",2023,Locally acquired,12049,20,5 to 49,"FL, Hardee County"
"PR, Adjuntas",2023,Locally acquired,72001,6,5 to 49,"PR, Adjuntas Municipality"
