FullGeoName,Year,Travel status,County,Count,Legend,Notes
"AL, Autauga",2013,Travel associated,01001,1 to 4,1 to 4,"AL, Autauga County"
"AL, Jefferson",2013,Travel associated,01073,1 to 4,1 to 4,"AL, Jefferson County"
"AL, Montgomery",2013,Travel associated,01101,1 to 4,1 to 4,"AL, Montgomery County"
AK,2013,Travel associated,02999,1 to 4,1 to 4,"AK, Alaska"
"AZ, Maricopa",2013,Travel associated,04013,1 to 4,1 to 4,"AZ, Maricopa County"
"AR, Saline",2013,Travel associated,05125,1 to 4,1 to 4,"AR, Saline County"
"AR, Washington",2013,Travel associated,05143,1 to 4,1 to 4,"AR, Washington County"
"CA, Butte",2013,Travel associated,06007,1 to 4,1 to 4,"CA, Butte County"
"CA, Contra Costa",2013,Travel associated,06013,1 to 4,1 to 4,"CA, Contra Costa County"
"CA, Fresno",2013,Travel associated,06019,1 to 4,1 to 4,"CA, Fresno County"
"CA, Kern",2013,Travel associated,06029,1 to 4,1 to 4,"CA, Kern County"
"CA, Kings",2013,Travel associated,06031,1 to 4,1 to 4,"CA, Kings County"
"CA, Marin",2013,Travel associated,06041,1 to 4,1 to 4,"CA, Marin County"
"CA, Mendocino",2013,Travel associated,06045,1 to 4,1 to 4,"CA, Mendocino County"
"CA, Napa",2013,Travel associated,06055,1 to 4,1 to 4,"CA, Napa County"
"CA, Placer",2013,Travel associated,06061,1 to 4,1 to 4,"CA, Placer County"
"CA, Riverside",2013,Travel associated,06065,1 to 4,1 to 4,"CA, Riverside County"
"CA, Sacramento",2013,Travel associated,06067,1 to 4,1 to 4,"CA, Sacramento County"
"CA, San Bernardino",2013,Travel associated,06071,1 to 4,1 to 4,"CA, San Bernardino County"
"CA, San Francisco",2013,Travel associated,06075,1 to 4,1 to 4,"CA, San Francisco, City and County of"
"CA, San Joaquin",2013,Travel associated,06077,1 to 4,1 to 4,"CA, San Joaquin County"
"CA, Santa Barbara",2013,Travel associated,06083,1 to 4,1 to 4,"CA, Santa Barbara County"
"CA, Santa Cruz",2013,Travel associated,06087,1 to 4,1 to 4,"CA, Santa Cruz County"
"CA, Solano",2013,Travel associated,06095,1 to 4,1 to 4,"CA, Solano County"
"CA, Sonoma",2013,Travel associated,06097,1 to 4,1 to 4,"CA, Sonoma County"
"CA, Stanislaus",2013,Travel associated,06099,1 to 4,1 to 4,"CA, Stanislaus County"
"CA, Ventura",2013,Travel associated,06111,1 to 4,1 to 4,"CA, Ventura County"
"CA, Yolo",2013,Travel associated,06113,1 to 4,1 to 4,"CA, Yolo County"
"CT, Fairfield",2013,Travel associated,09001,1 to 4,1 to 4,"CT, Fairfield County"
"CT, Litchfield",2013,Travel associated,09005,1 to 4,1 to 4,"CT, Litchfield County"
"CT, Middlesex",2013,Travel associated,09007,1 to 4,1 to 4,"CT, Middlesex County"
"CT, New London",2013,Travel associated,09011,1 to 4,1 to 4,"CT, New London County"
"DE, Kent",2013,Travel associated,10001,1 to 4,1 to 4,"DE, Kent County"
"DE, New Castle",2013,Travel associated,10003,1 to 4,1 to 4,"DE, New Castle County"
"FL, Alachua",2013,Travel associated,12001,1 to 4,1 to 4,"FL, Alachua County"
"FL, Brevard",2013,Travel associated,12009,1 to 4,1 to 4,"FL, Brevard County"
"FL, Clay",2013,Travel associated,12019,1 to 4,1 to 4,"FL, Clay County"
"FL, Collier",2013,Travel associated,12021,1 to 4,1 to 4,"FL, Collier County"
"FL, Duval",2013,Travel associated,12031,1 to 4,1 to 4,"FL, Duval County"
"FL, Hillsborough",2013,Travel associated,12057,1 to 4,1 to 4,"FL, Hillsborough County"
"FL, Indian River",2013,Travel associated,12061,1 to 4,1 to 4,"FL, Indian River County"
"FL, Lafayette",2013,Travel associated,12067,1 to 4,1 to 4,"FL, Lafayette County"
"FL, Lee",2013,Travel associated,12071,1 to 4,1 to 4,"FL, Lee County"
"FL, Marion",2013,Travel associated,12083,1 to 4,1 to 4,"FL, Marion County"
"FL, Nassau",2013,Travel associated,12089,1 to 4,1 to 4,"FL, Nassau County"
"FL, Osceola",2013,Travel associated,12097,1 to 4,1 to 4,"FL, Osceola County"
"FL, Pasco",2013,Travel associated,12101,1 to 4,1 to 4,"FL, Pasco County"
"FL, Pinellas",2013,Travel associated,12103,1 to 4,1 to 4,"FL, Pinellas County"
"FL, Polk",2013,Travel associated,12105,1 to 4,1 to 4,"FL, Polk County"
"FL, St Johns",2013,Travel associated,12109,1 to 4,1 to 4,"FL, St. Johns County"
"FL, St Lucie",2013,Travel associated,12111,1 to 4,1 to 4,"FL, St. Lucie County"
"FL, Santa Rosa",2013,Travel associated,12113,1 to 4,1 to 4,"FL, Santa Rosa County"
"FL, Sarasota",2013,Travel associated,12115,1 to 4,1 to 4,"FL, Sarasota County"
"FL, Seminole",2013,Travel associated,12117,1 to 4,1 to 4,"FL, Seminole County"
"FL, Volusia",2013,Travel associated,12127,1 to 4,1 to 4,"FL, Volusia County"
"GA, Cobb",2013,Travel associated,13067,1 to 4,1 to 4,"GA, Cobb County"
"GA, De Kalb",2013,Travel associated,13089,1 to 4,1 to 4,"GA, DeKalb County"
"GA, Fulton",2013,Travel associated,13121,1 to 4,1 to 4,"GA, Fulton County"
"GA, Gwinnett",2013,Travel associated,13135,1 to 4,1 to 4,"GA, Gwinnett County"
"HI, Hawaii",2013,Travel associated,15001,1 to 4,1 to 4,"HI, Hawaii County"
"HI, Maui",2013,Travel associated,15009,1 to 4,1 to 4,"HI, Maui County"
"ID, Ada",2013,Travel associated,16001,1 to 4,1 to 4,"ID, Ada County"
"IL, Du Page",2013,Travel associated,17043,1 to 4,1 to 4,"IL, DuPage County"
"IL, Lake",2013,Travel associated,17097,1 to 4,1 to 4,"IL, Lake County"
"IL, Madison",2013,Travel associated,17119,1 to 4,1 to 4,"IL, Madison County"
"IL, St Clair",2013,Travel associated,17163,1 to 4,1 to 4,"IL, St. Clair County"
"IL, Will",2013,Travel associated,17197,1 to 4,1 to 4,"IL, Will County"
"IN, Bartholomew",2013,Travel associated,18005,1 to 4,1 to 4,"IN, Bartholomew County"
"IN, Boone",2013,Travel associated,18011,1 to 4,1 to 4,"IN, Boone County"
"IN, Hamilton",2013,Travel associated,18057,1 to 4,1 to 4,"IN, Hamilton County"
"IN, Hendricks",2013,Travel associated,18063,1 to 4,1 to 4,"IN, Hendricks County"
"IN, Marion",2013,Travel associated,18097,1 to 4,1 to 4,"IN, Marion County"
"IA, Dallas",2013,Travel associated,19049,1 to 4,1 to 4,"IA, Dallas County"
"IA, Johnson",2013,Travel associated,19103,1 to 4,1 to 4,"IA, Johnson County"
"KS, Harvey",2013,Travel associated,20079,1 to 4,1 to 4,"KS, Harvey County"
"KS, Johnson",2013,Travel associated,20091,1 to 4,1 to 4,"KS, Johnson County"
"KS, Leavenworth",2013,Travel associated,20103,1 to 4,1 to 4,"KS, Leavenworth County"
"KS, Mcpherson",2013,Travel associated,20113,1 to 4,1 to 4,"KS, McPherson County"
"KS, Sedgwick",2013,Travel associated,20173,1 to 4,1 to 4,"KS, Sedgwick County"
"LA, Bossier Parish",2013,Travel associated,22015,1 to 4,1 to 4,"LA, Bossier Parish"
"LA, East Baton Rouge Parish",2013,Travel associated,22033,1 to 4,1 to 4,"LA, East Baton Rouge Parish"
"LA, Lafayette Parish",2013,Travel associated,22055,1 to 4,1 to 4,"LA, Lafayette Parish"
"LA, Livingston Parish",2013,Travel associated,22063,1 to 4,1 to 4,"LA, Livingston Parish"
"LA, Orleans Parish",2013,Travel associated,22071,1 to 4,1 to 4,"LA, Orleans Parish"
"LA, St Tammany Parish",2013,Travel associated,22103,1 to 4,1 to 4,"LA, St. Tammany Parish"
"ME, Hancock",2013,Travel associated,23009,1 to 4,1 to 4,"ME, Hancock County"
"MD, Anne Arundel",2013,Travel associated,24003,1 to 4,1 to 4,"MD, Anne Arundel County"
"MD, Baltimore",2013,Travel associated,24005,1 to 4,1 to 4,"MD, Baltimore County"
"MD, Wicomico",2013,Travel associated,24045,1 to 4,1 to 4,"MD, Wicomico County"
"MD, Baltimore City",2013,Travel associated,24510,1 to 4,1 to 4,"MD, Baltimore City"
"MI, Genesee",2013,Travel associated,26049,1 to 4,1 to 4,"MI, Genesee County"
"MI, Grand Traverse",2013,Travel associated,26055,1 to 4,1 to 4,"MI, Grand Traverse County"
"MI, Ingham",2013,Travel associated,26065,1 to 4,1 to 4,"MI, Ingham County"
"MI, Kent",2013,Travel associated,26081,1 to 4,1 to 4,"MI, Kent County"
"MI, Livingston",2013,Travel associated,26093,1 to 4,1 to 4,"MI, Livingston County"
"MI, Oakland",2013,Travel associated,26125,1 to 4,1 to 4,"MI, Oakland County"
"MI, Saginaw",2013,Travel associated,26145,1 to 4,1 to 4,"MI, Saginaw County"
"MI, Washtenaw",2013,Travel associated,26161,1 to 4,1 to 4,"MI, Washtenaw County"
"MI, Wayne",2013,Travel associated,26163,1 to 4,1 to 4,"MI, Wayne County"
"MN, Crow Wing",2013,Travel associated,27035,1 to 4,1 to 4,"MN, Crow Wing County"
"MN, Dakota",2013,Travel associated,27037,1 to 4,1 to 4,"MN, Dakota County"
"MN, Lyon",2013,Travel associated,27083,1 to 4,1 to 4,"MN, Lyon County"
"MN, Ramsey",2013,Travel associated,27123,1 to 4,1 to 4,"MN, Ramsey County"
"MN, St Louis",2013,Travel associated,27137,1 to 4,1 to 4,"MN, St. Louis County"
"MN, Sherburne",2013,Travel associated,27141,1 to 4,1 to 4,"MN, Sherburne County"
"MN, Stearns",2013,Travel associated,27145,1 to 4,1 to 4,"MN, Stearns County"
"MN, Washington",2013,Travel associated,27163,1 to 4,1 to 4,"MN, Washington County"
"MS, Tallahatchie",2013,Travel associated,28135,1 to 4,1 to 4,"MS, Tallahatchie County"
"MO, Boone",2013,Travel associated,29019,1 to 4,1 to 4,"MO, Boone County"
"MO, Buchanan",2013,Travel associated,29021,1 to 4,1 to 4,"MO, Buchanan County"
"MO, St Louis",2013,Travel associated,29189,1 to 4,1 to 4,"MO, St. Louis County"
"MO, St Louis City",2013,Travel associated,29510,1 to 4,1 to 4,"MO, St. Louis, City of"
"MT, Flathead",2013,Travel associated,30029,1 to 4,1 to 4,"MT, Flathead County"
"MT, Gallatin",2013,Travel associated,30031,1 to 4,1 to 4,"MT, Gallatin County"
"MT, Missoula",2013,Travel associated,30063,1 to 4,1 to 4,"MT, Missoula County"
"NV, Clark",2013,Travel associated,32003,1 to 4,1 to 4,"NV, Clark County"
"NV, Washoe",2013,Travel associated,32031,1 to 4,1 to 4,"NV, Washoe County"
"NH, Carroll",2013,Travel associated,33003,1 to 4,1 to 4,"NH, Carroll County"
"NH, Hillsborough",2013,Travel associated,33011,1 to 4,1 to 4,"NH, Hillsborough County"
"NY, Albany",2013,Travel associated,36001,1 to 4,1 to 4,"NY, Albany County"
"NY, Broome",2013,Travel associated,36007,1 to 4,1 to 4,"NY, Broome County"
"NY, Dutchess",2013,Travel associated,36027,1 to 4,1 to 4,"NY, Dutchess County"
"NY, Erie",2013,Travel associated,36029,1 to 4,1 to 4,"NY, Erie County"
"NY, Madison",2013,Travel associated,36053,1 to 4,1 to 4,"NY, Madison County"
"NY, Monroe",2013,Travel associated,36055,1 to 4,1 to 4,"NY, Monroe County"
"NY, Niagara",2013,Travel associated,36063,1 to 4,1 to 4,"NY, Niagara County"
"NY, Oneida",2013,Travel associated,36065,1 to 4,1 to 4,"NY, Oneida County"
"NY, Onondaga",2013,Travel associated,36067,1 to 4,1 to 4,"NY, Onondaga County"
"NY, Ontario",2013,Travel associated,36069,1 to 4,1 to 4,"NY, Ontario County"
"NY, Orange",2013,Travel associated,36071,1 to 4,1 to 4,"NY, Orange County"
"NY, Richmond",2013,Travel associated,36085,1 to 4,1 to 4,"NY, Richmond County"
"NY, Rockland",2013,Travel associated,36087,1 to 4,1 to 4,"NY, Rockland County"
"NY, Schuyler",2013,Travel associated,36097,1 to 4,1 to 4,"NY, Schuyler County"
"NY, Ulster",2013,Travel associated,36111,1 to 4,1 to 4,"NY, Ulster County"
"NC, Buncombe",2013,Travel associated,37021,1 to 4,1 to 4,"NC, Buncombe County"
