FullGeoName,Year,County,Activity,Reported human cases,Neuroinvasive disease cases,Identified by Blood Donor Screening
"AL, Autauga",2003,01001,Non-human activity,0,0,0
"AL, Baldwin",2003,01003,Human infections and non-human activity,8,4,0
"AL, Barbour",2003,01005,Human infections and non-human activity,1,1,0
"AL, Bibb",2003,01007,Non-human activity,0,0,0
"AL, Blount",2003,01009,Human infections and non-human activity,1,0,0
"AL, Butler",2003,01013,Non-human activity,0,0,0
"AL, Calhoun",2003,01015,Human infections and non-human activity,1,1,0
"AL, Chambers",2003,01017,Non-human activity,0,0,0
"AL, Cherokee",2003,01019,Non-human activity,0,0,0
"AL, Choctaw",2003,01023,Non-human activity,0,0,0
"AL, Clarke",2003,01025,Non-human activity,0,0,0
"AL, Clay",2003,01027,Non-human activity,0,0,0
"AL, Coffee",2003,01031,Non-human activity,0,0,0
"AL, Colbert",2003,01033,Non-human activity,0,0,0
"AL, Conecuh",2003,01035,Non-human activity,0,0,0
"AL, Covington",2003,01039,Non-human activity,0,0,0
"AL, Cullman",2003,01043,Non-human activity,0,0,0
"AL, Dallas",2003,01047,Human infections and non-human activity,1,0,0
"AL, De Kalb",2003,01049,Non-human activity,0,0,0
"AL, Escambia",2003,01053,Human infections and non-human activity,1,1,0
"AL, Etowah",2003,01055,Non-human activity,0,0,0
"AL, Fayette",2003,01057,Non-human activity,0,0,0
"AL, Geneva",2003,01061,Human infections and non-human activity,2,0,0
"AL, Greene",2003,01063,Non-human activity,0,0,0
"AL, Hale",2003,01065,Non-human activity,0,0,0
"AL, Houston",2003,01069,Human infections and non-human activity,1,1,0
"AL, Jackson",2003,01071,Non-human activity,0,0,0
"AL, Jefferson",2003,01073,Human infections and non-human activity,8,7,0
"AL, Lawrence",2003,01079,Non-human activity,0,0,0
"AL, Lee",2003,01081,Non-human activity,0,0,0
"AL, Limestone",2003,01083,Non-human activity,0,0,0
"AL, Macon",2003,01087,Non-human activity,0,0,0
"AL, Madison",2003,01089,Non-human activity,0,0,0
"AL, Marengo",2003,01091,Non-human activity,0,0,0
"AL, Marshall",2003,01095,Human infections and non-human activity,1,0,0
"AL, Mobile",2003,01097,Human infections and non-human activity,3,2,0
"AL, Monroe",2003,01099,Human infections and non-human activity,1,1,0
"AL, Montgomery",2003,01101,Human infections and non-human activity,3,2,0
"AL, Morgan",2003,01103,Human infections and non-human activity,1,1,0
"AL, Pickens",2003,01107,Non-human activity,0,0,0
"AL, Pike",2003,01109,Non-human activity,0,0,0
"AL, Randolph",2003,01111,Non-human activity,0,0,0
"AL, St Clair",2003,01115,Non-human activity,0,0,0
"AL, Shelby",2003,01117,Human infections and non-human activity,2,2,0
"AL, Sumter",2003,01119,Non-human activity,0,0,0
"AL, Talladega",2003,01121,Human infections and non-human activity,1,1,0
"AL, Tuscaloosa",2003,01125,Non-human activity,0,0,0
"AL, Walker",2003,01127,Non-human activity,0,0,0
"AL, Washington",2003,01129,Non-human activity,0,0,0
"AL, Wilcox",2003,01131,Human infections and non-human activity,1,1,0
"AL, Winston",2003,01133,Non-human activity,0,0,0
"AZ, Apache",2003,04001,Non-human activity,0,0,0
"AZ, Cochise",2003,04003,Non-human activity,0,0,0
"AZ, Coconino",2003,04005,Human infections and non-human activity,0,0,1
"AZ, Gila",2003,04007,Human infections and non-human activity,2,1,0
"AZ, Graham",2003,04009,Human infections and non-human activity,2,2,0
"AZ, La Paz",2003,04012,Non-human activity,0,0,0
"AZ, Maricopa",2003,04013,Human infections and non-human activity,7,2,2
"AZ, Navajo",2003,04017,Non-human activity,0,0,0
"AZ, Pima",2003,04019,Human infections and non-human activity,2,2,0
"AZ, Pinal",2003,04021,Non-human activity,0,0,0
"AZ, Yavapai",2003,04025,Non-human activity,0,0,0
"AZ, Yuma",2003,04027,Non-human activity,0,0,0
"AR, Arkansas",2003,05001,Human infections and non-human activity,2,2,0
"AR, Ashley",2003,05003,Non-human activity,0,0,0
"AR, Baxter",2003,05005,Non-human activity,0,0,0
"AR, Benton",2003,05007,Human infections and non-human activity,1,1,0
"AR, Boone",2003,05009,Non-human activity,0,0,0
"AR, Bradley",2003,05011,Human infections and non-human activity,1,1,0
"AR, Chicot",2003,05017,Non-human activity,0,0,0
"AR, Clark",2003,05019,Non-human activity,0,0,0
"AR, Clay",2003,05021,Non-human activity,0,0,0
"AR, Cleburne",2003,05023,Human infections and non-human activity,1,1,0
"AR, Cleveland",2003,05025,Non-human activity,0,0,0
"AR, Columbia",2003,05027,Human infections and non-human activity,1,1,0
"AR, Conway",2003,05029,Non-human activity,0,0,0
"AR, Craighead",2003,05031,Non-human activity,0,0,0
"AR, Crawford",2003,05033,Non-human activity,0,0,0
"AR, Dallas",2003,05039,Non-human activity,0,0,0
"AR, Desha",2003,05041,Non-human activity,0,0,0
