FullGeoName,Year,County,Activity,Reported human cases,Neuroinvasive disease cases,Identified by Blood Donor Screening
"AL, Bibb",2015,01007,Human infections,1,1,0
"AL, Conecuh",2015,01035,Human infections,1,1,0
"AL, Dallas",2015,01047,Human infections,2,1,0
"AL, Etowah",2015,01055,Human infections,0,0,1
"AL, Jefferson",2015,01073,Human infections,1,0,0
"AL, Mobile",2015,01097,Human infections and non-human activity,3,2,0
"AL, Russell",2015,01113,Human infections,1,0,0
"AZ, Apache",2015,04001,Human infections,1,1,0
"AZ, Coconino",2015,04005,Human infections,2,2,0
"AZ, Gila",2015,04007,Human infections and non-human activity,1,0,0
"AZ, La Paz",2015,04012,Human infections,1,0,0
"AZ, Maricopa",2015,04013,Human infections and non-human activity,62,39,10
"AZ, Mohave",2015,04015,Human infections,1,1,0
"AZ, Pima",2015,04019,Human infections and non-human activity,29,18,7
"AZ, Pinal",2015,04021,Human infections and non-human activity,5,5,0
"AZ, Yavapai",2015,04025,Human infections and non-human activity,1,1,0
"AZ, Yuma",2015,04027,Non-human activity,0,0,0
"AR, Bradley",2015,05011,Human infections,4,3,0
"AR, Carroll",2015,05015,Human infections,1,1,0
"AR, Columbia",2015,05027,Human infections,1,1,0
"AR, Craighead",2015,05031,Human infections and non-human activity,2,1,0
"AR, Crittenden",2015,05035,Human infections,2,2,0
"AR, Fulton",2015,05049,Non-human activity,0,0,0
"AR, Jefferson",2015,05069,Human infections,3,3,0
"AR, Lonoke",2015,05085,Human infections,1,1,0
"AR, Sebastian",2015,05131,Human infections,1,1,0
"AR, Union",2015,05139,Human infections and non-human activity,1,1,0
"AR, Washington",2015,05143,Human infections,1,1,0
"AR, White",2015,05145,Human infections,1,1,0
"CA, Alameda",2015,06001,Non-human activity,0,0,0
"CA, Butte",2015,06007,Human infections and non-human activity,53,23,5
"CA, Colusa",2015,06011,Human infections and non-human activity,1,0,0
"CA, Contra Costa",2015,06013,Human infections and non-human activity,1,1,0
"CA, El Dorado",2015,06017,Non-human activity,0,0,0
"CA, Fresno",2015,06019,Human infections and non-human activity,8,5,5
"CA, Glenn",2015,06021,Human infections and non-human activity,19,8,1
"CA, Humboldt",2015,06023,Non-human activity,0,0,0
"CA, Imperial",2015,06025,Human infections,1,0,0
"CA, Kern",2015,06029,Human infections and non-human activity,11,8,1
"CA, Kings",2015,06031,Non-human activity,0,0,0
"CA, Lake",2015,06033,Human infections and non-human activity,2,2,0
"CA, Los Angeles",2015,06037,Human infections and non-human activity,286,239,27
"CA, Madera",2015,06039,Human infections and non-human activity,4,3,0
"CA, Marin",2015,06041,Human infections and non-human activity,1,1,0
"CA, Mendocino",2015,06045,Human infections,2,2,0
"CA, Merced",2015,06047,Human infections and non-human activity,1,1,1
"CA, Modoc",2015,06049,Non-human activity,0,0,0
"CA, Napa",2015,06055,Human infections and non-human activity,0,0,1
"CA, Nevada",2015,06057,Human infections and non-human activity,2,1,0
"CA, Orange",2015,06059,Human infections and non-human activity,92,71,5
"CA, Placer",2015,06061,Human infections and non-human activity,0,0,1
"CA, Riverside",2015,06065,Human infections and non-human activity,127,91,12
"CA, Sacramento",2015,06067,Human infections and non-human activity,4,3,2
"CA, San Bernardino",2015,06071,Human infections and non-human activity,54,47,7
"CA, San Diego",2015,06073,Human infections and non-human activity,42,31,4
"CA, San Joaquin",2015,06077,Human infections and non-human activity,2,2,0
"CA, San Mateo",2015,06081,Non-human activity,0,0,0
"CA, Santa Barbara",2015,06083,Non-human activity,0,0,0
"CA, Santa Clara",2015,06085,Human infections and non-human activity,8,5,0
"CA, Santa Cruz",2015,06087,Non-human activity,0,0,0
"CA, Shasta",2015,06089,Human infections and non-human activity,3,1,0
"CA, Siskiyou",2015,06093,Human infections,1,1,0
"CA, Solano",2015,06095,Human infections and non-human activity,1,1,0
"CA, Sonoma",2015,06097,Non-human activity,0,0,0
"CA, Stanislaus",2015,06099,Human infections and non-human activity,13,8,0
"CA, Sutter",2015,06101,Human infections and non-human activity,2,0,0
"CA, Tehama",2015,06103,Human infections and non-human activity,5,3,2
"CA, Trinity",2015,06105,Non-human activity,0,0,0
"CA, Tulare",2015,06107,Human infections and non-human activity,13,12,2
"CA, Ventura",2015,06111,Human infections and non-human activity,6,5,0
"CA, Yolo",2015,06113,Human infections and non-human activity,8,4,1
"CA, Yuba",2015,06115,Human infections and non-human activity,10,6,0
"CO, Adams",2015,08001,Human infections and non-human activity,7,3,0
"CO, Alamosa",2015,08003,Human infections and non-human activity,0,0,1
"CO, Arapahoe",2015,08005,Human infections and non-human activity,11,9,0
"CO, Boulder",2015,08013,Human infections and non-human activity,11,3,1
"CO, Broomfield",2015,08014,Human infections,1,1,0
"CO, Conejos",2015,08021,Non-human activity,0,0,0
"CO, Costilla",2015,08023,Human infections,1,1,0
"CO, Crowley",2015,08025,Human infections,1,1,0
"CO, Delta",2015,08029,Non-human activity,0,0,0
"CO, Denver",2015,08031,Human infections and non-human activity,11,9,1
"CO, Douglas",2015,08035,Human infections,2,1,0
"CO, El Paso",2015,08041,Human infections,1,1,0
"CO, Fremont",2015,08043,Human infections and non-human activity,4,3,0
"CO, Huerfano",2015,08055,Human infections and non-human activity,1,1,0
"CO, Jefferson",2015,08059,Human infections and non-human activity,8,5,0
"CO, La Plata",2015,08067,Human infections,1,1,0
"CO, Larimer",2015,08069,Human infections and non-human activity,17,6,4
"CO, Logan",2015,08075,Human infections and non-human activity,1,0,0
"CO, Mesa",2015,08077,Human infections and non-human activity,2,1,1
"CO, Morgan",2015,08087,Human infections and non-human activity,2,0,0
"CO, Otero",2015,08089,Human infections,1,0,0
"CO, Park",2015,08093,Non-human activity,0,0,0
"CO, Phillips",2015,08095,Non-human activity,0,0,0
"CO, Prowers",2015,08099,Human infections,1,1,0
"CO, Pueblo",2015,08101,Human infections and non-human activity,4,3,0
"CO, Rio Grande",2015,08105,Human infections,1,0,0
"CO, Sedgwick",2015,08115,Human infections,1,1,0
"CO, Washington",2015,08121,Human infections,1,1,0
"CO, Weld",2015,08123,Human infections and non-human activity,10,5,0
"CT, Fairfield",2015,09001,Human infections and non-human activity,8,6,0
"CT, Hartford",2015,09003,Non-human activity,0,0,0
"CT, Middlesex",2015,09007,Non-human activity,0,0,0
"CT, New Haven",2015,09009,Human infections and non-human activity,2,2,0
"CT, New London",2015,09011,Non-human activity,0,0,0
"CT, Windham",2015,09015,Non-human activity,0,0,0
"DE, Kent",2015,10001,Human infections and non-human activity,2,0,1
"DE, New Castle",2015,10003,Human infections and non-human activity,3,0,3
"DE, Sussex",2015,10005,Human infections and non-human activity,1,0,0
"DC, Washington",2015,11001,Human infections,5,3,0
"FL, Bay",2015,12005,Non-human activity,0,0,0
"FL, Brevard",2015,12009,Non-human activity,0,0,0
"FL, Charlotte",2015,12015,Non-human activity,0,0,0
"FL, Citrus",2015,12017,Non-human activity,0,0,0
"FL, Duval",2015,12031,Human infections,1,1,0
"FL, Escambia",2015,12033,Human infections,4,4,0
"FL, Flagler",2015,12035,Non-human activity,0,0,0
"FL, Hernando",2015,12053,Non-human activity,0,0,0
"FL, Hillsborough",2015,12057,Human infections and non-human activity,2,2,1
"FL, Indian River",2015,12061,Non-human activity,0,0,0
"FL, Lee",2015,12071,Non-human activity,0,0,0
"FL, Leon",2015,12073,Non-human activity,0,0,0
"FL, Manatee",2015,12081,Human infections and non-human activity,0,0,1
"FL, Marion",2015,12083,Human infections and non-human activity,1,1,0
"FL, Martin",2015,12085,Non-human activity,0,0,0
"FL, Nassau",2015,12089,Non-human activity,0,0,0
"FL, Orange",2015,12095,Non-human activity,0,0,0
"FL, Palm Beach",2015,12099,Non-human activity,0,0,0
"FL, Pasco",2015,12101,Non-human activity,0,0,0
"FL, Pinellas",2015,12103,Human infections and non-human activity,1,1,0
"FL, Polk",2015,12105,Non-human activity,0,0,0
"FL, Putnam",2015,12107,Non-human activity,0,0,0
"FL, St Johns",2015,12109,Non-human activity,0,0,0
"FL, Sarasota",2015,12115,Human infections and non-human activity,1,0,0
"FL, Seminole",2015,12117,Non-human activity,0,0,0
"FL, Sumter",2015,12119,Non-human activity,0,0,0
"FL, Volusia",2015,12127,Human infections and non-human activity,1,1,0
"FL, Walton",2015,12131,Human infections and non-human activity,2,2,0
"GA, Chatham",2015,13051,Non-human activity,0,0,0
"GA, Cobb",2015,13067,Human infections,4,3,0
"GA, De Kalb",2015,13089,Human infections,3,3,0
"GA, Forsyth",2015,13117,Human infections,0,0,1
"GA, Fulton",2015,13121,Human infections and non-human activity,1,1,0
"GA, Glynn",2015,13127,Human infections,1,1,0
"GA, Muscogee",2015,13215,Human infections,2,1,0
"GA, Richmond",2015,13245,Human infections and non-human activity,3,3,1
"GA, Spalding",2015,13255,Human infections,1,1,0
"ID, Ada",2015,16001,Human infections and non-human activity,1,0,2
"ID, Bingham",2015,16011,Human infections and non-human activity,0,0,1
"ID, Canyon",2015,16027,Human infections and non-human activity,4,0,0
"ID, Caribou",2015,16029,Human infections,0,0,1
