FullGeoName,Year,County,Activity,Reported human cases,Neuroinvasive disease cases,Identified by Blood Donor Screening
"AL, Baldwin",2018,01003,Human infections and non-human activity,2,1,0
"AL, Dale",2018,01045,Non-human activity,0,0,0
"AL, Fayette",2018,01057,Human infections,1,1,0
"AL, Houston",2018,01069,Human infections,0,0,1
"AL, Jefferson",2018,01073,Human infections,6,2,0
"AL, Macon",2018,01087,Non-human activity,0,0,0
"AL, Mobile",2018,01097,Human infections and non-human activity,14,8,2
"AL, Montgomery",2018,01101,Human infections,1,1,2
"AL, Shelby",2018,01117,Human infections,1,1,0
"AL, Talladega",2018,01121,Human infections,1,0,0
"AL, Tuscaloosa",2018,01125,Human infections,2,2,0
AK,2018,02999,Human infections,1,1,0
"AZ, Maricopa",2018,04013,Human infections and non-human activity,24,23,0
"AZ, Pima",2018,04019,Non-human activity,0,0,0
"AZ, Pinal",2018,04021,Human infections and non-human activity,2,2,0
"AZ, Yuma",2018,04027,Non-human activity,0,0,0
"AR, Benton",2018,05007,Human infections,1,0,0
"AR, Franklin",2018,05047,Non-human activity,0,0,0
"AR, Jefferson",2018,05069,Human infections,2,2,0
"AR, Madison",2018,05087,Non-human activity,0,0,0
"AR, Miller",2018,05091,Human infections,1,0,0
"AR, Sebastian",2018,05131,Human infections,2,2,0
"AR, Union",2018,05139,Human infections,1,1,0
"AR, Washington",2018,05143,Human infections,1,1,0
"AR, White",2018,05145,Non-human activity,0,0,0
"CA, Alameda",2018,06001,Non-human activity,0,0,0
"CA, Amador",2018,06005,Human infections and non-human activity,1,0,0
"CA, Butte",2018,06007,Human infections and non-human activity,12,8,4
"CA, Colusa",2018,06011,Non-human activity,0,0,0
"CA, Contra Costa",2018,06013,Human infections and non-human activity,4,2,1
"CA, El Dorado",2018,06017,Non-human activity,0,0,0
"CA, Fresno",2018,06019,Human infections and non-human activity,14,9,2
"CA, Glenn",2018,06021,Human infections and non-human activity,2,1,1
"CA, Humboldt",2018,06023,Human infections and non-human activity,1,1,0
"CA, Imperial",2018,06025,Non-human activity,0,0,0
"CA, Kern",2018,06029,Human infections and non-human activity,13,4,1
"CA, Kings",2018,06031,Non-human activity,0,0,0
"CA, Lake",2018,06033,Human infections and non-human activity,1,0,0
"CA, Los Angeles",2018,06037,Human infections and non-human activity,43,34,1
"CA, Madera",2018,06039,Human infections and non-human activity,4,4,0
"CA, Merced",2018,06047,Human infections and non-human activity,2,1,0
"CA, Monterey",2018,06053,Human infections,1,0,0
"CA, Napa",2018,06055,Human infections,1,1,0
"CA, Nevada",2018,06057,Human infections,1,1,0
"CA, Orange",2018,06059,Human infections and non-human activity,9,8,4
"CA, Placer",2018,06061,Human infections and non-human activity,9,8,0
"CA, Plumas",2018,06063,Non-human activity,0,0,0
"CA, Riverside",2018,06065,Human infections and non-human activity,15,11,1
"CA, Sacramento",2018,06067,Human infections and non-human activity,15,11,3
"CA, San Benito",2018,06069,Non-human activity,0,0,0
"CA, San Bernardino",2018,06071,Human infections and non-human activity,9,8,1
"CA, San Diego",2018,06073,Human infections and non-human activity,2,2,0
"CA, San Joaquin",2018,06077,Human infections and non-human activity,14,9,4
"CA, San Mateo",2018,06081,Non-human activity,0,0,0
"CA, Santa Clara",2018,06085,Human infections and non-human activity,1,1,0
"CA, Santa Cruz",2018,06087,Non-human activity,0,0,0
"CA, Shasta",2018,06089,Human infections and non-human activity,1,1,0
"CA, Solano",2018,06095,Non-human activity,0,0,0
"CA, Sonoma",2018,06097,Non-human activity,0,0,0
"CA, Stanislaus",2018,06099,Human infections and non-human activity,15,7,2
"CA, Sutter",2018,06101,Human infections and non-human activity,1,1,0
"CA, Tehama",2018,06103,Human infections and non-human activity,2,1,1
"CA, Tulare",2018,06107,Human infections and non-human activity,8,7,0
"CA, Tuolumne",2018,06109,Human infections and non-human activity,1,1,0
"CA, Ventura",2018,06111,Human infections,2,1,0
"CA, Yolo",2018,06113,Human infections and non-human activity,11,9,1
"CA, Yuba",2018,06115,Human infections and non-human activity,2,2,0
"CO, Adams",2018,08001,Human infections and non-human activity,3,3,0
"CO, Arapahoe",2018,08005,Human infections,6,5,0
"CO, Boulder",2018,08013,Human infections and non-human activity,11,4,2
"CO, Broomfield",2018,08014,Human infections,1,0,0
"CO, Clear Creek",2018,08019,Human infections,1,1,0
"CO, Delta",2018,08029,Human infections,8,3,1
"CO, Denver",2018,08031,Human infections and non-human activity,5,4,0
"CO, El Paso",2018,08041,Human infections and non-human activity,2,1,0
"CO, Garfield",2018,08045,Human infections,1,1,0
